,url,size,new,idx
123706,http://archive.northjersey.com/news/kelly-lawyer-fights-prosecutors-request-to-keep-gwb-evidence-confidential-1.1355224,117911,7.0,1381.0
14061,http://archive.northjersey.com/news/kelly-unlikely-pair-emerge-as-christie-adversaries-1.680617,121135,1.0,567.0
4195,http://archive.northjersey.com/news/lawmakers-who-led-gwb-scandal-probe-call-criminal-findings-sickening-1.1323573,121652,0.0,4195.0
123658,http://archive.northjersey.com/news/lawyer-says-he-wants-christie-s-cell-phone-in-gwb-lane-closure-case-1.1554868,125783,7.0,1333.0
123659,http://archive.northjersey.com/news/lawyers-in-gwb-scandal-case-argue-creating-a-traffic-jam-is-not-a-crime-1.1544967,118552,7.0,1334.0
123607,http://archive.northjersey.com/news/lawyers-on-both-sides-of-bridgegate-trial-paint-christie-as-central-figure-1.1662514,141410,7.0,1282.0
4323,http://archive.northjersey.com/news/legislative-panel-wants-13-more-to-testify-in-gwb-investigation-1.1042385,110481,0.0,4323.0
14301,http://archive.northjersey.com/news/lesniak-calls-for-probe-into-christie-s-use-of-port-authority-funds-for-road-repairs-1.997007,110682,2.0,219.0
14010,http://archive.northjersey.com/news/loyal-christie-team-s-ties-run-deep-1.665780,116591,1.0,516.0
14303,http://archive.northjersey.com/news/manhattan-district-attorney-launches-investigation-into-port-authority-spending-1.938968,118465,2.0,221.0
124064,http://archive.northjersey.com/news/mayor-of-fort-lee-calls-gwb-lane-closure-scheme-a-venomous-act-1.1323770,120413,7.0,1739.0
14128,http://archive.northjersey.com/news/mike-kelly-image-of-former-christie-aide-bridget-anne-kelly-doesn-t-fit-r%C3%A9sum%C3%A9-1.657638,128538,2.0,46.0
123519,http://archive.northjersey.com/news/mike-kelly-spooky-days-in-christie-world-thanks-to-bridgegate-1.1684521,129341,7.0,1194.0
124232,http://archive.northjersey.com/news/mowers-former-christie-aide-disheartened-and-disappointed-by-gwb-lane-closures-1.1019455,111166,7.0,1907.0
124069,http://archive.northjersey.com/news/n-j-acting-ag-says-he-s-prepared-to-follow-up-on-any-violations-resulting-from-gwb-probe-1.1320852,111843,7.0,1744.0
13953,http://archive.northjersey.com/news/n-j-assembly-senate-merge-panels-investigating-gwb-scandal-1.654616,108447,1.0,459.0
124335,http://archive.northjersey.com/news/n-j-attorney-general-hires-law-firms-to-represent-state-workers-in-gwb-probe-1.981073,108603,7.0,2010.0
13668,http://archive.northjersey.com/news/n-j-prosecutors-shift-focus-in-gwb-probe-to-port-authority-chairman-1.745241,104612,1.0,174.0
123674,http://archive.northjersey.com/news/names-sought-on-gwb-scandal-related-legal-bills-1.1498955,118826,7.0,1349.0
17473,http://archive.northjersey.com/news/nation,84336,2.0,3391.0
13838,http://archive.northjersey.com/news/nation/christie-popularity-sinking-in-ohio-poll-finds-1.652994,102153,1.0,344.0
123657,http://archive.northjersey.com/news/new-plea-to-keep-gwb-co-conspirator-list-private-1.1611581,123593,7.0,1332.0
14379,http://archive.northjersey.com/news/new-port-authority-conflict-issue-emerges-nj-transit-got-1-lease-while-a-client-of-david-samson-s-law-firm-1.712588,114448,2.0,297.0
14215,http://archive.northjersey.com/news/new-york-tri-state-area/port-authority-chief-s-email-demands-answers-to-closing-of-lanes-leading-to-george-washington-bridge-1.714336,111518,2.0,133.0
14229,http://archive.northjersey.com/news/new-york-tri-state-area/road-warrior-closed-tollbooths-a-commuting-disaster-1.639923,115345,2.0,147.0
123903,http://archive.northjersey.com/news/nine-in-10-new-jerseyans-believe-more-people-were-involved-in-gwb-lane-closures-poll-finds-1.1324909,121789,7.0,1578.0
123563,http://archive.northjersey.com/news/nj-state-news/bridgegate-courtroom-performances-frame-bill-baroni-s-career-1.1677219,126156,7.0,1238.0
5149,http://archive.northjersey.com/news/nj-state-news/christie-administration-attorney-requests-documents-from-fort-lee-related-to-gwb-scandal-1.662892,100436,0.0,5149.0
14071,http://archive.northjersey.com/news/nj-state-news/christie-aide-bridget-kelly-was-messaging-about-gwb-lane-closures-on-day-she-accompanied-christie-to-seaside-fire-documents-show-1.741479,112075,1.0,577.0
4955,http://archive.northjersey.com/news/nj-state-news/christie-approval-ratings-take-another-hit-amid-gwb-controversy-poll-finds-1.663860,99462,0.0,4955.0
13969,http://archive.northjersey.com/news/nj-state-news/christie-s-gwb-counsel-fights-to-shield-toll-files-1.645341,121152,1.0,475.0
14199,http://archive.northjersey.com/news/nj-state-news/christie-s-top-port-authority-appointee-baroni-resigns-amid-escalating-probe-into-gwb-lane-closures-1.703016,120321,2.0,117.0
13836,http://archive.northjersey.com/news/nj-state-news/christie-talks-sandy-recovery-not-scandal-at-town-hall-video-1.659038,116758,1.0,342.0
13726,http://archive.northjersey.com/news/nj-state-news/former-port-authority-official-bill-baroni-lands-job-with-law-firm-1.731872,104130,1.0,232.0
14100,http://archive.northjersey.com/news/nj-state-news/gov-christie-apologizes-for-gwb-scandal-1.741482,127952,2.0,18.0
13903,http://archive.northjersey.com/news/nj-state-news/gwb-scandal-activist-group-to-rally-call-for-christie-to-resign-if-he-knew-about-lane-closures-1.696687,107513,1.0,409.0
13911,http://archive.northjersey.com/news/nj-state-news/gwb-scandal-fort-lee-mayor-now-says-christie-campaign-courted-him-for-endorsement-1.667541,124855,1.0,417.0
13937,http://archive.northjersey.com/news/nj-state-news/gwb-scandal-port-authority-won-t-pay-legal-bills-for-david-wildstein-1.693492,106677,1.0,443.0
123502,http://archive.northjersey.com/news/nj-state-news/nj-governor-s-office/the-record-s-shawn-boburg-wins-a-polk-award-for-gwb-reporting-1.718940,107925,7.0,1177.0
13842,http://archive.northjersey.com/news/nj-state-news/port-authority-cop-offered-to-reroute-gwb-traffic-1.674704,114105,1.0,348.0
13958,http://archive.northjersey.com/news/nj-state-news/stile-christie-s-leadership-style-has-roots-in-campus-government-1.176101,114802,1.0,464.0
13796,http://archive.northjersey.com/news/nj-state-news/stile-frustration-boils-over-at-christie-s-town-hall-style-event-video-1.652909,116076,1.0,302.0
